name,lat,lon
"East Orange",40.7794,-74.2055
"East Orange",40.7794,-74.2055
"Wichita",37.6722,-97.1712
"Wichita",37.6722,-97.1712
"Macon",32.8522,-83.7693
"Macon",32.8522,-83.7693
"Charlotte",35.2744,-80.9454
"Cache (county)",41.7293,-111.833
"Cache (county)",41.7293,-111.833
"Beebe",35.0661,-91.8765
"Beebe",35.0661,-91.8765
"Des Plaines",42.0059,-87.8719
"Des Plaines",42.0059,-87.8719
"Elmira",45.003,-84.9286
"Chubbuck",42.9274,-112.479
"Chubbuck",42.9274,-112.479
"Chubbuck",42.9274,-112.479
"Chubbuck",42.9274,-112.479
"Sparta",35.9586,-85.5708
"Clinton",42.6078,-82.8627
"Clinton",42.6078,-82.8627
"Garner",43.0831,-93.6065
"Bethel",60.7854,-161.801
"Homestead",25.4772,-80.4705
"Homestead",25.4772,-80.4705
"Homestead",25.4772,-80.4705
"Atoka",34.4681,-96.0601
"Atoka",34.4681,-96.0601
"Tampa",27.9471,-82.4596
"Snow Hill",35.4904,-77.7796
"Snow Hill",35.4904,-77.7796
"Snow Hill",35.4904,-77.7796
"Nashville",36.232,-86.7925
"Nashville",36.232,-86.7925
"Tulsa",36.1584,-95.7901
"Tulsa",36.1584,-95.7901
"Carrollton",40.5494,-80.9327
"Carrollton",40.5494,-80.9327
"Roosevelt (Ballard)",40.2893,-109.944
"Roosevelt (Ballard)",40.2893,-109.944
"Little Rock",34.7446,-92.3117
"Little Rock",34.7446,-92.3117
"Vicksburg",32.3407,-90.8742
"Sanford",28.7857,-81.2817
"Sanford",28.7857,-81.2817
"Lemoore",36.3088,-119.806
"Pinetown",35.6064,-76.8616
"Pinetown",35.6064,-76.8616
"Pinetown",35.6064,-76.8616
"Villa Park",41.8812,-87.9783
"Augusta",33.472,-82.0009
"Augusta",33.472,-82.0009
"Moulton",34.4637,-87.2837
"Hartsville",34.4131,-80.0274
"Hartsville",34.4131,-80.0274
"Hartsville",34.4131,-80.0274
"Weiser",44.199,-116.922
"Gaston",33.8554,-81.1304
"Gaston",33.8554,-81.1304
"Gaston",33.8554,-81.1304
"Palestine",31.7482,-95.6811
"Palestine",31.7482,-95.6811
"Birmingham (Midfield)",33.4562,-86.9216
"Leighton",34.6582,-87.5379
