name,lat,lon
"Palatka",29.6276,-81.8028
"Palatka",29.6276,-81.8028
"Waldorf",38.6265,-76.9105
"Pleasantville",39.3884,-74.5211
"Pleasantville",39.3884,-74.5211
"Pleasantville",39.3884,-74.5211
"Florissant",38.7816,-90.2627
"Florissant",38.7816,-90.2627
"Pensacola",30.4531,-87.2532
"Saint Cloud",45.5494,-94.1312
"Saint Cloud",45.5494,-94.1312
"Twin Lake",43.3781,-86.2336
"Twin Lake",43.3781,-86.2336
"Kansas City",39.0867,-94.5146
"Kansas City",39.0867,-94.5146
"San Antonio",29.4057,-98.5191
"Monroe (Richwood)",32.5443,-92.1058
"Sparta",43.9515,-90.8223
"Sparta",43.9515,-90.8223
"Hickory",35.7606,-81.3244
"Hickory",35.7606,-81.3244
"Hickory",35.7606,-81.3244
"Charlotte",35.2094,-80.8955
"Charlotte",35.2094,-80.8955
"Charlotte",35.2094,-80.8955
"Gallatin (county)",45.6805,-111.019
"Gallatin (county)",45.6805,-111.019
"Enfield",41.958,-72.5494
"Detroit",42.3224,-83.0905
"Louisville",38.2242,-85.7745
"Salt Lake City (West Valley City)",40.6825,-111.939
"Salt Lake City (West Valley City)",40.6825,-111.939
"Salt Lake City (West Valley City)",40.6825,-111.939
"Salt Lake City (West Valley City)",40.6825,-111.939
"Antioch",36.0248,-86.6463
"Columbus",39.9539,-83.0347
"Columbus",39.9539,-83.0347
"Louisville",38.2647,-85.7868
"Yukon",35.4763,-97.727
"Greenwood",33.5209,-90.1553
"Greenwood",33.5209,-90.1553
"Owensville",38.2619,-91.5348
"Owensville",38.2619,-91.5348
"Memphis",35.2137,-89.9787
"Memphis",35.2137,-89.9787
"Etna Green",41.3145,-86.0367
"Nashua",42.9085,-92.5449
"Kansas City",38.9753,-94.5658
"Kansas City",38.9753,-94.5658
"Danielsville",34.2124,-83.2345
"Danielsville",34.2124,-83.2345
"Temple",31.1859,-97.4704
"Temple",31.1859,-97.4704
"Cleveland",41.4557,-81.7721
"Cleveland",41.4557,-81.7721
"Baton Rouge",30.4568,-91.1573
"Chico",39.7632,-121.827
"Chico",39.7632,-121.827
"Webster",28.4996,-82.0611
"Birmingham",33.5303,-86.7628
"Birmingham",33.5303,-86.7628
"Phoenix",33.5966,-112.1
"Fresno",36.7784,-119.82
"Fresno",36.7784,-119.82
"Lima",40.7723,-84.1311
"Lima",40.7723,-84.1311
"North Charleston",32.8823,-80.0029
"North Charleston",32.8823,-80.0029
"Baltic",40.441,-81.6972
"Baltic",40.441,-81.6972
"San Angelo",31.4647,-100.479
"Philadelphia",40.058,-75.1508
"Wichita",37.6468,-97.3349
"Wichita",37.6468,-97.3349
"Wichita",37.6468,-97.3349
"Cody",44.526,-109.065
"Cody",44.526,-109.065
"Cody",44.526,-109.065
"Cody",44.526,-109.065
"Baton Rouge",30.4789,-91.1406
"Baton Rouge",30.4789,-91.1406
"Saint Albans",38.4123,-81.8631
"Saint Albans",38.4123,-81.8631
"Wendell",42.7705,-114.712
"Wendell",42.7705,-114.712
"Saint Louis",38.6792,-90.2275
