name,lat,lon
"Wichita",37.7091,-97.2925
"Wichita",37.7091,-97.2925
"Wichita",37.7091,-97.2925
"Saint Cloud",45.5494,-94.1312
"Saint Cloud",45.5494,-94.1312
"Kansas City",39.0867,-94.5146
"Kansas City",39.0867,-94.5146
"Saint Paul",44.9774,-93.1086
"Saint Paul",44.9774,-93.1086
"Saint Paul",44.9774,-93.1086
"Sylmar",34.308,-118.43
"Sylmar",34.308,-118.43
"San Antonio",29.4057,-98.5191
"Louisville",38.2248,-85.7784
"Monroe (Richwood)",32.5443,-92.1058
"Nashville",36.1895,-86.8179
"Nashville",36.1895,-86.8179
"Nashville",36.1895,-86.8179
"Nashville",36.1895,-86.8179
"Nashville",36.1895,-86.8179
"Sparta",43.9515,-90.8223
"Sparta",43.9515,-90.8223
"East Hartford",41.7776,-72.5902
"East Hartford",41.7776,-72.5902
"Longview",32.4768,-94.7111
"Longview",32.4768,-94.7111
"Longview",32.4768,-94.7111
"Saint Louis",38.6706,-90.2609
"Charlotte",35.2094,-80.8955
"Charlotte",35.2094,-80.8955
"Charlotte",35.2094,-80.8955
"Gallatin (county)",45.6805,-111.019
"Gallatin (county)",45.6805,-111.019
"Wilson",35.6929,-77.8906
"Cincinnati",39.2737,-84.5622
"Cincinnati",39.2737,-84.5622
"Cincinnati",39.2737,-84.5622
"Chicago",41.9111,-87.7728
"Chicago",41.9111,-87.7728
"Chicago",41.9169,-87.7559
"Chicago",41.9169,-87.7559
"Chicago",41.9169,-87.7559
"Gadsden",33.9943,-86.0044
"Gadsden",33.9943,-86.0044
"Gadsden",33.9943,-86.0044
"Gadsden",33.9943,-86.0044
"Salt Lake City (West Valley City)",40.6825,-111.939
"Salt Lake City (West Valley City)",40.6825,-111.939
"Salt Lake City (West Valley City)",40.6825,-111.939
"Salt Lake City (West Valley City)",40.6825,-111.939
"New Orleans",29.9962,-90.0499
"New Orleans",29.9962,-90.0499
"New Orleans",29.9962,-90.0499
"New Orleans",29.9962,-90.0499
"New Orleans",29.9962,-90.0499
"New Orleans",29.9962,-90.0499
"South Bend",41.6491,-86.164
"Yukon",35.4763,-97.727
"San Antonio",29.4234,-98.4864
"San Antonio",29.4234,-98.4864
"Greenwood",33.5209,-90.1553
"Greenwood",33.5209,-90.1553
"Greensboro",36.1391,-79.7795
"Greensboro",36.1391,-79.7795
"Cleveland",41.5473,-81.5609
"Cleveland",41.5473,-81.5609
"Columbus",32.4863,-84.894
"Columbus",32.4863,-84.894
"Nashua",42.9085,-92.5449
