name,lat,lon
"East Orange",40.7794,-74.2055
"East Orange",40.7794,-74.2055
"Beebe",35.0661,-91.8765
"Beebe",35.0661,-91.8765
"Columbus",39.9864,-82.9801
"Columbus",39.9864,-82.9801
"Columbus",39.9864,-82.9801
"Columbus",39.9864,-82.9801
"Columbus",39.9864,-82.9801
"Fort Lauderdale (Dania Beach)",26.1239,-80.1536
"Fort Lauderdale (Dania Beach)",26.1239,-80.1536
"Fort Lauderdale (Dania Beach)",26.1239,-80.1536
"Fort Lauderdale (Dania Beach)",26.1239,-80.1536
"Longview",46.1525,-122.967
"Longview",46.1525,-122.967
"Miami",25.8343,-80.2195
"Miami",25.8343,-80.2195
"Minneapolis",45.0133,-93.3082
"Minneapolis",45.0133,-93.3082
"Minneapolis",45.0133,-93.3082
"Minneapolis",45.0133,-93.3082
"Clinton",42.6078,-82.8627
"Clinton",42.6078,-82.8627
"Garner",43.0831,-93.6065
"Tampa",27.9471,-82.4596
"Mabank",32.2831,-96.1163
"Mabank",32.2831,-96.1163
"Mabank",32.2831,-96.1163
"San Antonio",29.4896,-98.5225
"San Antonio",29.4896,-98.5225
"San Antonio",29.4896,-98.5225
"Wisconsin Rapids",44.3861,-89.8133
"Wisconsin Rapids",44.3861,-89.8133
"Wisconsin Rapids",44.3861,-89.8133
"Madison",32.517,-90.0922
"Madison",32.517,-90.0922
"Madison",32.517,-90.0922
"Madison",32.517,-90.0922
"Roosevelt (Ballard)",40.2893,-109.944
"Roosevelt (Ballard)",40.2893,-109.944
"Louisville",38.1801,-85.7133
"Louisville",38.1801,-85.7133
"Louisville",38.1801,-85.7133
"Durham",36.0548,-78.9351
"Durham",36.0548,-78.9351
"Kerrville",30.0869,-99.1984
"Kerrville",30.0869,-99.1984
"Kerrville",30.0869,-99.1984
"Vicksburg",32.3407,-90.8742
"Sanford",28.7857,-81.2817
"Sanford",28.7857,-81.2817
"Lemoore",36.3088,-119.806
"Pinetown",35.6064,-76.8616
"Pinetown",35.6064,-76.8616
"Pinetown",35.6064,-76.8616
"Saint Louis",38.5809,-90.2985
"Saint Louis",38.5809,-90.2985
"Saint Louis",38.5809,-90.2985
"Hot Springs",38.0126,-79.8103
"Hot Springs",38.0126,-79.8103
"Moulton",34.4637,-87.2837
