"Incident Date",State,"City Or County",Address,"# Killed","# Injured",Operations
"May 10, 2018",Iowa,Clarksville,N/A,1,0,N/A
"May 10, 2018",Louisiana,Shreveport,"100 block of N Pierre Ave",1,0,N/A
"May 7, 2018",Virginia,Richmond,"11 N Laburnum Ave",1,0,N/A
"May 6, 2018",Texas,Rowlett,"Hickox Rd and Rolett Rd",2,0,N/A
"May 5, 2018",Indiana,"East Chicago","3700 block of Elm St",1,0,N/A
"May 5, 2018",Texas,Rowlett,"5900 block of Mimosa Ln",2,0,N/A
"May 5, 2018",Georgia,Decatur,"3539 Sweetgum Ln",1,0,N/A
"May 4, 2018","South Carolina",Walterboro,"Robinson Rd",1,0,N/A
"May 3, 2018","North Dakota","Grand Forks","1006 S 12th St",4,0,N/A
"April 23, 2018",Ohio,Streetsboro,"900 block of Alden Dr",1,0,N/A
"April 22, 2018",California,Modesto,"1800 block of Rancho Encantado",3,0,N/A
"April 20, 2018",Ohio,Wickliffe,"28611 Euclid Avenue",1,0,N/A
"April 10, 2018","North Carolina","Snow Hill","1043 Davis Grove Church Rd",2,0,N/A
"April 1, 2018",Georgia,Atlanta,"1200 block of Bouldercrest Rd SE",1,0,N/A
"March 31, 2018",Missouri,"Saint Louis","3100 block of California Ave",1,0,N/A
"March 31, 2018",Florida,Miami,"NW 65th St and NW 13th Ct",1,0,N/A
"March 29, 2018",Missouri,Florissant,"1415 East Duchesne",3,0,N/A
"March 29, 2018",Indiana,Indianapolis,"3500 block of N Wittfield St",1,1,N/A
"March 25, 2018",Alaska,"Barrow (Utqiagvik)",N/A,1,0,N/A
"March 21, 2018",Kentucky,Burlington,"5900 block of Peoples Ln",2,0,N/A
"March 21, 2018",Texas,Martinsville,N/A,1,0,N/A
"March 14, 2018","New York",Brooklyn,"345 Thatford Ave",4,0,N/A
"March 13, 2018",Washington,Spanaway,"5707 209th St E",4,0,N/A
"March 12, 2018",Louisiana,"Lake Providence",N/A,1,0,N/A
"March 12, 2018",Missouri,"Cape Girardeau",N/A,1,0,N/A
"March 12, 2018",Alabama,Mobile,"8070 Domain St",1,0,N/A
"March 10, 2018",Florida,Ocala,"FR 88",3,0,N/A
"March 10, 2018",Wisconsin,Milwaukee,"4500 block of N 38th St",1,0,N/A
"March 7, 2018",Alabama,Huntsville,"Murray Road",1,0,N/A
"March 2, 2018",Colorado,Arboles,N/A,1,0,N/A
"March 1, 2018","North Carolina",Laurinburg,"3rd St",1,0,N/A
"March 1, 2018",Texas,Houston,"3900 block of Scott St",1,1,N/A
"February 21, 2018","New Jersey","Asbury Park","405 Ridge Ave",1,1,N/A
"February 20, 2018",Michigan,"Bay City","3700 block of Wheeler Rd",3,0,N/A
"February 20, 2018",Alabama,Moulton,"Pinhook Rd",1,0,N/A
"February 18, 2018",Florida,Jacksonville,"1300 block of Mount Herman St",1,1,N/A
"February 18, 2018",California,Madera,"Tozer St and Olive Ave",1,1,N/A
"February 16, 2018",Ohio,Akron,"900 block of Mercer Ave",1,0,N/A
"February 10, 2018",Missouri,Barnhart,"7218 Valley Dr",2,0,N/A
"February 8, 2018",Alabama,Talladega,N/A,1,0,N/A
"February 3, 2018","South Carolina",Dillon,"Lester Rd",1,2,N/A
"February 2, 2018",Missouri,"Saint Louis","6200 block of Kinsey Pl",3,0,N/A
"January 29, 2018",Missouri,"Poplar Bluff","Hwy JJ",1,0,N/A
"January 28, 2018",Texas,Houston,"1400 block of W Gulf Bank Rd",1,0,N/A
"January 27, 2018",Texas,"Texas City","Lynn Cir and 29th St",1,0,N/A
"January 26, 2018",Florida,Marianna,"Townhouse Rd",1,0,N/A
"January 25, 2018",Georgia,Byromville,"Church Ave and Hill Street",3,1,N/A
"January 24, 2018",Texas,"Fort Worth","3900 block of Lawnwood St",1,0,N/A
"January 20, 2018",California,Compton,"2876 W Alondra Blvd",1,0,N/A
"January 20, 2018",Missouri,"Kansas City","Emmanuel Cleaver II Blvd and US 71",1,0,N/A
"January 17, 2018",Michigan,"Grand Rapids","Montgomery St SE",2,0,N/A
"January 12, 2018",Tennessee,Nashville,"2614 Jenkins Ct",3,2,N/A
"January 8, 2018",Texas,Galveston,"5222 Seawall Blvd",4,0,N/A
"January 5, 2018",California,"Santa Clarita","28800 block of Startree Ln",4,0,N/A
"January 1, 2018",Alabama,"Bessemer (Concord)","6400 block of William Dr",1,0,N/A
"January 1, 2018",Michigan,Flint,"5501 Granville Ave",1,0,N/A
"December 31, 2017",Utah,Magna,"2665 S 8990 W",2,0,N/A
"December 31, 2017",California,"West Sacramento","1050 W Capitol Ave",3,0,N/A
"December 28, 2017",Florida,"West Palm Beach","822 S 3rd St",2,0,N/A
"December 28, 2017",Alabama,Brierfield,"12772 Montevallo Rd",1,0,N/A
"December 28, 2017",Texas,Greenville,"4200 block of Pickett St",1,0,N/A
"December 26, 2017",Pennsylvania,Pittsburgh,"1913 Columbia Ave",2,2,N/A
"December 25, 2017",Arizona,Phoenix,"1601 East Highland Avenue",3,1,N/A
"December 22, 2017",Maryland,Aquasco,"15500 block of Saint Phillips Rd",1,0,N/A
"December 21, 2017",Texas,Schertz,"125 Nu Pecan Grove",2,0,N/A
"December 15, 2017",Florida,Miami,"11341 SW 216th St",1,0,N/A
"December 11, 2017",Texas,Austin,"8000 block of El Dorado Dr",2,0,N/A
"December 10, 2017",Utah,"Roosevelt (Ballard)",N/A,1,0,N/A
"December 9, 2017",Texas,"North Richland Hills","7400 block of College Cir S",3,0,N/A
"December 7, 2017","North Carolina",Weldon,"775 Elm Street",1,0,N/A
"December 6, 2017",Michigan,Detroit,"11000 block of Rossiter",1,0,N/A
"December 5, 2017",Alaska,Anchorage,"5700 block of Rocky Mountain Ct",1,0,N/A
"November 23, 2017",Texas,"San Antonio","1200 block of Harwood Dr",1,0,N/A
"November 19, 2017",Texas,Denison,"1700 block of W Elm St",1,1,N/A
"November 13, 2017",Missouri,"Pierce City","Farm Road 1050",2,0,N/A
"November 13, 2017",Tennessee,Memphis,"Airways Blvd and Ketchum Rd",1,2,N/A
"November 10, 2017",Arizona,Scottsdale,"13420 N 103rd Place",4,0,N/A
"November 10, 2017",Tennessee,Memphis,"3527 S Mendenhall Rd",1,0,N/A
