"Incident Date",State,"City Or County",Address,"# Killed","# Injured",Operations
"May 10, 2018","Illinois","Chicago","4600 block of N Sheridan Rd",0,2,N/A
"May 10, 2018",Michigan,Lansing,"2200 block of Reo Rd",0,3,N/A
"May 8, 2018",Nevada,"Las Vegas","354 N Nellis Blvd",0,4,N/A
"May 8, 2018",Michigan,Detroit,"5900 block of Marcus St",0,1,N/A
"May 8, 2018","New York",Bronx,"176 E 174th St",0,3,N/A
"May 6, 2018",Missouri,"Kansas City","5200 block of Euclid Ave",0,1,N/A
"May 4, 2018",California,Fresno,"W Simpson Ave and N Delno Ave",0,2,N/A
"May 4, 2018",Florida,Jacksonville,"2500 block of Jessica Ln",0,1,N/A
"May 3, 2018",Tennessee,Memphis,"3274 Alta Rd",0,1,N/A
"May 3, 2018",Ohio,Cleveland,"1600 block of E 93rd St",0,1,N/A
"May 2, 2018",Tennessee,Nashville,"Dorris Ave",0,1,N/A
"May 2, 2018","North Carolina",Wilson,"1700 block of Stantonsburg Road",0,1,N/A
"May 1, 2018",Illinois,Chicago,"1000 block of W 88th St",0,1,N/A
"April 30, 2018",Florida,Jacksonville,"W 71st St and Vermillion St",0,1,N/A
"April 30, 2018","District of Columbia",Washington,"1800 block of M St NE",0,2,N/A
"April 29, 2018",Texas,Houston,"7930 Corporate Dr",2,1,N/A
"April 29, 2018",Pennsylvania,York,"142 S George St",0,1,N/A
"April 29, 2018",Illinois,Chicago,"4600 block of N Monticello Ave",0,1,N/A
"April 26, 2018","New Mexico",Carlsbad,"100 block of Third St",0,1,N/A
"April 25, 2018",Arizona,Glendale,"58th Avenue and Camelback Road",0,1,N/A
"April 24, 2018",California,"Mc Farland (Mcfarland)","200 block of Robertson Ave",0,2,N/A
"April 24, 2018",Louisiana,"Baton Rouge","North Marque Ann Drive",0,1,N/A
"April 24, 2018",Alabama,Mobile,"1366 Driftwood Dr N",1,2,N/A
"April 24, 2018",Illinois,Joliet,"400 block of Landau St",0,1,N/A
"April 22, 2018",Texas,"San Antonio","100 block of Balsa Di Prato",0,1,N/A
"April 22, 2018",Georgia,Columbus,"1000 Wynnton Rd",0,1,N/A
"April 21, 2018",Texas,Millsap,"Young Rd",0,1,N/A
"April 21, 2018",California,Compton,"12400 block of Grandee Ave",1,1,N/A
"April 18, 2018",Pennsylvania,Philadelphia,"67th St and Trinity St",0,2,N/A
"April 18, 2018","North Carolina",Asheville,"73 Hansel Ave",4,3,N/A
"April 17, 2018",Indiana,Gary,"1400 block of E 35th Pl",1,1,N/A
"April 15, 2018",Indiana,"Fort Wayne","2700 block of Chestnut St",1,1,N/A
"April 15, 2018",Louisiana,"New Orleans","3400 block of New Orleans Street",0,2,N/A
"April 13, 2018",Florida,"Hollywood (Miramar)","6100 Block of SW 40th Ct",1,1,N/A
"April 13, 2018",Illinois,Rockford,"2200 block of S 5th St",0,2,N/A
"April 12, 2018",Indiana,"South Bend","425 S 25th St",0,1,N/A
"April 11, 2018",Utah,"Salt Lake City (West Valley City)","4065 S Redwood Rd",0,4,N/A
"April 11, 2018","South Carolina",Summerville,"1225 Boonehill Rd",0,1,N/A
"April 10, 2018",Kansas,"Overland Park","Switzer St and W 85th St",1,1,N/A
"April 10, 2018",Texas,"San Antonio","11300 block of Roszell St",0,1,N/A
"April 9, 2018",California,"San Diego","3200 block of Apache Ave",0,1,N/A
"April 7, 2018",Mississippi,Philadelphia,"Chestnut Street",0,1,N/A
"April 7, 2018","North Carolina",Raleigh,"4200 block of Brintons Cottage Rd",1,2,N/A
"April 7, 2018",Michigan,Detroit,"15911 Livernois Ave",0,1,N/A
"April 6, 2018",Georgia,Atlanta,"300 block of Fairburn Road",0,1,N/A
"April 5, 2018",Michigan,Detroit,"11000 block of Chelsea Ave",0,1,N/A
"April 5, 2018","South Carolina","Horry (county)",N/A,0,1,N/A
"April 4, 2018",Louisiana,"New Orleans","3300 Garden Oaks Drive",2,2,N/A
"April 2, 2018",Illinois,Lansing,"Rosewood Dr",0,1,N/A
"April 1, 2018",Pennsylvania,Philadelphia,"2100 block of S Alden St",0,1,N/A
"April 1, 2018",Maryland,Randallstown,"50 block of Cinnamon Cir",0,3,N/A
"April 1, 2018",Alabama,Birmingham,N/A,0,1,N/A
"March 25, 2018",Texas,Houston,"Freeport St and Alderson St",0,2,N/A
"March 25, 2018",Ohio,Cleveland,"Mannering Rd",0,1,N/A
"March 24, 2018",Louisiana,Jennings,"2074 Jeff Davis Academy Rd",0,1,N/A
"March 23, 2018",Michigan,Detroit,"11511 Plymouth Rd",0,1,N/A
"March 22, 2018",Texas,Temple,"306 S 25th St",0,1,N/A
"March 21, 2018",Georgia,Hull,"Maplewood Ln",0,1,N/A
"March 21, 2018",Michigan,Warren,"13303 Charlotte Ave",0,1,N/A
"March 18, 2018",Maryland,Bowie,"2100 block of Woodvale Ln",0,1,N/A
"March 18, 2018",Wisconsin,Sparta,"Williams Ln",0,1,N/A
"March 17, 2018","West Virginia",Martinsburg,"Albert St",0,1,N/A
"March 17, 2018",Georgia,Eatonton,"222 Milledgeville Rd",2,4,N/A
"March 17, 2018",California,Hercules,I-80,0,2,N/A
"March 17, 2018",Louisiana,Shreveport,"Linwood Avenue",0,1,N/A
"March 16, 2018",Texas,"Big Spring","1711 S Gregg St",0,2,N/A
"March 15, 2018",Texas,Houston,"6030 Dashwood Dr",0,3,N/A
"March 15, 2018",Georgia,Atlanta,"600 block of Charlotte Pl",0,2,N/A
"March 14, 2018","South Carolina",Charleston,"586 Rutledge Ave",0,1,N/A
"March 12, 2018",Alabama,Huntsville,"2120 Sparkman Dr NW",1,1,N/A
"March 12, 2018",Ohio,Cleveland,"E 37th St and Capers Ave",0,2,N/A
"March 10, 2018",Texas,Amarillo,"2900 block of Wichita Ave",0,1,N/A
"March 10, 2018",California,Fresno,"McKinley and Marks",1,1,N/A
"March 10, 2018",Alabama,Ozark,"King Street",0,2,N/A
"March 10, 2018",Illinois,Chicago,"3200 block of W Fulton Blvd",0,1,N/A
"March 9, 2018","North Carolina",Fayetteville,"848 Tamarack Dr",0,1,N/A
"March 8, 2018",Alabama,Selma,"Marie Foster Dr",0,1,N/A
"March 8, 2018",Missouri,Columbia,"N Gregory Dr and N Teresa Dr",0,1,N/A
"March 8, 2018",Kansas,Lawrence,"600 block of North St",0,1,N/A
"March 7, 2018",Tennessee,Memphis,"Bonita Dr",0,1,N/A
"March 7, 2018",Georgia,Lithonia,"6250 Hillandale Dr",0,1,N/A
"March 7, 2018",Georgia,Decatur,N/A,0,1,N/A
"March 4, 2018",Georgia,Cartersville,"Herring St",0,1,N/A
"March 4, 2018",Louisiana,Shreveport,"3410 Jackson Street",0,1,N/A
"March 4, 2018",Louisiana,Rayne,"900 block of Reynolds Street",0,1,N/A
"March 3, 2018",Ohio,Hayesville,N/A,0,1,N/A
"March 3, 2018",Missouri,"Saint Louis","I-70 and Union Blvd",0,1,N/A
"March 2, 2018","North Carolina",Greensboro,"1373 Lees Chapel Rd",0,2,N/A
"March 1, 2018",Texas,Houston,"3900 block of Scott St",1,1,N/A
"February 28, 2018",Tennessee,Memphis,"National St and Fairoaks Ave",0,2,N/A
"February 28, 2018",Louisiana,Winnsboro,"2100 block of Roland St",0,1,N/A
"February 27, 2018",Florida,Gainesville,"1100 block on NE 16th Ave",0,2,N/A
"February 26, 2018",Georgia,Lagrange,"1000 block of Whitesville Rd",0,1,N/A
"February 26, 2018","New York",Brooklyn,"8221 Flatlands Ave",0,1,N/A
"February 25, 2018",Illinois,Chicago,"4700 W North Ave",0,2,N/A
"February 25, 2018",California,Sylmar,"I-210 and CA  118",0,1,N/A
"February 24, 2018",Ohio,Cincinnati,"Hamilton Ave and Roosevelt Ave",0,3,N/A
"February 24, 2018","West Virginia",Charleston,N/A,0,1,N/A
"February 23, 2018",Ohio,Akron,"Hamlin St and Wildwood Ave",0,3,N/A
"February 22, 2018",Tennessee,Jackson,"100 block of E Deaderick St",0,1,N/A
"February 21, 2018",Kentucky,Hulen,"68 Charles Collett Road",0,1,N/A
"February 19, 2018","South Carolina","North Charleston","Hillandale Rd",0,1,N/A
"February 19, 2018",Tennessee,Brownsville,"Highland St",0,1,N/A
"February 18, 2018",Missouri,"Saint Louis","Montgomery St and N Grand Blvd",0,1,N/A
"February 18, 2018",Texas,"San Antonio","2893 Cinema Ridge",0,5,N/A
"February 14, 2018",Georgia,Savannah,"Sunset Blvd and April St",1,1,N/A
"February 13, 2018",Missouri,"Kansas City (Raytown)","6307 Ash Ave",0,1,N/A
"February 12, 2018",Alabama,Birmingham,"5001 Sugar Ray Dr",0,2,N/A
"February 11, 2018",Ohio,Cleveland,"6800 block of Guthrie Ave",0,1,N/A
"February 10, 2018",Georgia,Atlanta,"Cedar Avenue",0,1,N/A
"February 8, 2018",Florida,Jacksonville,"2000 block of Lewis St",0,2,N/A
"February 6, 2018",Indiana,"Fort Wayne","1900 Pontiac St",0,3,N/A
"February 5, 2018",Texas,Mabank,"Albany Dr",0,1,N/A
"February 5, 2018",Kansas,Girard,"130th St",0,1,N/A
"February 1, 2018","South Carolina",Sumter,"800 block of Broad St",0,1,N/A
